id,seed,cover_percent,error
0,,0.0,"Exception in thread ""main"" java.lang.ArrayIndexOutOfBoundsException: 0
	at Target1HelloFuzzing.main(Target1HelloFuzzing.java:12)
"
1,he,0.0,"Exception in thread ""main"" java.lang.ArrayIndexOutOfBoundsException: 2
	at Target1HelloFuzzing.main(Target1HelloFuzzing.java:20)
"
2,hew,0.2727272727272727,
0000000003,h,0.0,"Exception in thread ""main"" java.lang.ArrayIndexOutOfBoundsException: 1
	at Target1HelloFuzzing.main(Target1HelloFuzzing.java:16)
"
